animale,anni,descrizione,qualco'altro
animale,anni,descrizione,qualco'altro
animale,anni,descrizione,qualco'altro
cane, 12," i cani camminano, ma non volano",qualco'altro
cane, 12," i cani camminano, ma non volano",qualco'altro
cane, 12," i cani camminano, ma non volano",qualco'altro
gatto,14,i gatti camminano,qualco'altro
gatto,14,i gatti camminano,qualco'altro
gatto,14,i gatti camminano,qualco'altro
pellicano,30,i pellicani volano,qualco'altro
pellicano,30,i pellicani volano,qualco'altro
pellicano,30,i pellicani volano,qualco'altro
scoiattolo,6,gli scoiattoli volano,qualco'altro
scoiattolo,6,gli scoiattoli volano,qualco'altro
scoiattolo,6,gli scoiattoli volano,qualco'altro
aquila,25,le aquile volano,qualco'altro
aquila,25,le aquile volano,qualco'altro
aquila,25,le aquile volano,qualco'altro
