nome,data,luogo,tipo,descrizione
Coppa del Mondo di Snowboard,14/12/2017,Passo Costalunga,"Sport, TOP EVENTI SPORT",Al Passo Costalunga sfida tra i migliori specialisti del mondo
Coppa Europa di sci alpino maschile - slalom speciale,18/12/2017,Pozza di Fassa,"Sport, TOP EVENTI SPORT",LunedÃ¬ 18 dicembre la Coppa Europa fa tappa in Val di Fassa
3Tre - AUDI FIS Ski World Cup,22/12/2017,Madonna di Campiglio,"Sport, TOP EVENTI SPORT",Torna il mitico slalom in notturna: vivi l'evento da VIP!
La Marcialonga di Fiemme e Fassa ,28/01/2018,Val di Fassa,"Sport, TOP EVENTI SPORT",La âreginaâ delle granfondo compie 45 anni
TrentinoSkiSunrise: sulle piste alla luce dellâalba,06/01/2018 - 07/04/2018,,"Enogastronomia, Intrattenimento della LocalitÃ , Sport","L'emozione di sciare allâalba e prima di tutti. Dopo, una colazione da campioni!"
Tour de Ski,06/01/2018 - 07/01/2018,Tesero,"Sport, Intrattenimento della LocalitÃ , Enogastronomia","Coppa del Mondo Sci di Fondo
"
La mia nuvola,01/10/2017 - 30/11/2017,Pozza di Fassa,Wellness,Contest fotografico della Nuvola del Benessere
Dormire sotto un cielo di stelle,31/10/2017 - 20/12/2017,Pozza di Fassa,Wellness,Fra le nuvole ai piedi delle Dolomiti
Mercatini di Natale di Canale di Tenno e Rango ,19/11/2017 - 30/12/2017,Tenno,"Intrattenimento della LocalitÃ , Mercati e mercatini",L'incanto genuino del Natale
La Ciaspolada,06/01/2018,Fondo,"Sport, TOP EVENTI SPORT",La regina delle ciaspole nel giorno della Befana
Mercatini di Natale a Trento,18/11/2017 - 06/01/2018,Trento,"Intrattenimento della LocalitÃ , Mercati e mercatini","Profumi, luci, atmosfera di festa "
Mercatini di Natale di Rovereto,25/11/2017 - 06/01/2018,Rovereto,"Intrattenimento della LocalitÃ , Mercati e mercatini",La forza della tradizione con un omaggio all'arte
Mercatino di Natale asburgico di Levico Terme,25/11/2017 - 06/01/2018,Levico Terme,"Mercati e mercatini, Intrattenimento della LocalitÃ ",Parco secolare degli Asburgo 
Magnifico Mercatino di Cavalese,01/12/2017 - 06/01/2018,Cavalese,"Intrattenimento della LocalitÃ , Mercati e mercatini","Musica, zelten, vin brulÃ© e spumante Trentodoc per assaporare lâatmosfera prenatalizia"
Mercatino di Natale ad Arco,17/11/2017 - 07/01/2018,Arco,"Intrattenimento della LocalitÃ , Mercati e mercatini",Quasi 40 casette negli angoli piÃ¹ suggestivi del centro
El paÃ¨s dei presepi,08/12/2017 - 07/01/2018,Baselga di PinÃ©,"Mercati e mercatini, Folklore",Tradizioni e mercatini natalizi di PinÃ¨
